Name,Year,Region Code,Region Name,Unit,Factor
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,LV,Latvia,kg/EUR,0.6324
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,MX,Mexico,kg/EUR,1.117
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,NL,Netherlands,kg/EUR,0.599
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,NO,Norway,kg/EUR,0.9846
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,PL,Poland,kg/EUR,8.2986
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,PT,Portugal,kg/EUR,3.1943
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,RO,Romania,kg/EUR,0.9935
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,ROW_WA,"Central Asia and Pacific Asia, Oceania, Antarctica",kg/EUR,3.7476
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,ROW_WE,East Europe and Iceland,kg/EUR,1.7875
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,ROW_WF,Africa except Egypt and South Africa,kg/EUR,1.6883
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,ROW_WL,Latin America except Brazil,kg/EUR,1.1281
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,ROW_WM,"Middle East, Asia and Egypt",kg/EUR,2.3309
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,RU,Russian Federation,kg/EUR,0.9846
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,SE,Sweden,kg/EUR,0.5843
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,SI,Slovenia,kg/EUR,0.4721
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,SK,Slovakia,kg/EUR,1.4676
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,TR,Turkey,kg/EUR,0.983
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,TW,"Taiwan, Province of China",kg/EUR,1.409
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,US,United States,kg/EUR,0.9564
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,ZA,South Africa,kg/EUR,1.4103
Chemicals (not elsewhere specified),2021,AT,Austria,kg/EUR,0.6595
Chemicals (not elsewhere specified),2021,AU,Australia,kg/EUR,0.661
Chemicals (not elsewhere specified),2021,BE,Belgium,kg/EUR,0.7853
Chemicals (not elsewhere specified),2021,BG,Bulgaria,kg/EUR,3.2038
Chemicals (not elsewhere specified),2021,BR,Brazil,kg/EUR,0.905
Chemicals (not elsewhere specified),2021,CA,Canada,kg/EUR,0.6646
Chemicals (not elsewhere specified),2021,CH,Switzerland,kg/EUR,0.2492
Chemicals (not elsewhere specified),2021,CN,China,kg/EUR,1.8816
Chemicals (not elsewhere specified),2021,CY,Cyprus,kg/EUR,1.3561
Chemicals (not elsewhere specified),2021,CZ,Czech Republic,kg/EUR,0.9851
Chemicals (not elsewhere specified),2021,DE,Germany,kg/EUR,0.7087
Chemicals (not elsewhere specified),2021,DK,Denmark,kg/EUR,0.4809
Chemicals (not elsewhere specified),2021,EE,Estonia,kg/EUR,1.5588
Chemicals (not elsewhere specified),2021,ES,Spain,kg/EUR,0.585
Chemicals (not elsewhere specified),2021,FI,Finland,kg/EUR,0.8366
Chemicals (not elsewhere specified),2021,FR,France,kg/EUR,0.4021
Chemicals (not elsewhere specified),2021,GR,Greece,kg/EUR,0.683
Chemicals (not elsewhere specified),2021,HR,Croatia,kg/EUR,0.9172
Chemicals (not elsewhere specified),2021,HU,Hungary,kg/EUR,2.1265
Chemicals (not elsewhere specified),2021,IE,Ireland,kg/EUR,0.3116
Chemicals (not elsewhere specified),2021,IN,India,kg/EUR,1.0666
Chemicals (not elsewhere specified),2021,IT,Italy,kg/EUR,0.7657
Chemicals (not elsewhere specified),2021,LT,Lithuania,kg/EUR,1.3075
Chemicals (not elsewhere specified),2021,LU,Luxembourg,kg/EUR,1.2156
Chemicals (not elsewhere specified),2021,LV,Latvia,kg/EUR,2.0323
Chemicals (not elsewhere specified),2021,MT,Malta,kg/EUR,1.1788
Chemicals (not elsewhere specified),2021,MX,Mexico,kg/EUR,0.7963
Chemicals (not elsewhere specified),2021,NL,Netherlands,kg/EUR,1.5777
Chemicals (not elsewhere specified),2021,NO,Norway,kg/EUR,0.8527
Chemicals (not elsewhere specified),2021,PL,Poland,kg/EUR,1.2533
Chemicals (not elsewhere specified),2021,PT,Portugal,kg/EUR,0.7761
Chemicals (not elsewhere specified),2021,ROW_WA,"Central Asia and Pacific Asia, Oceania, Antarctica",kg/EUR,1.4353
Chemicals (not elsewhere specified),2021,ROW_WE,East Europe and Iceland,kg/EUR,2.4652
Chemicals (not elsewhere specified),2021,ROW_WF,Africa except Egypt and South Africa,kg/EUR,2.1331
Chemicals (not elsewhere specified),2021,ROW_WL,Latin America except Brazil,kg/EUR,1.8762
